DATES,G2P [MMcf],,,
8/29/2019,825.08,,,
8/30/2019,801.90,,,
8/31/2019,819.04,,,
9/1/2019,747.15,,,
9/2/2019,852.80,,,
9/3/2019,1002.49,,,
9/4/2019,1102.32,,,
9/5/2019,1012.54,,,
9/6/2019,925.31,,,
9/7/2019,1001.38,,,
9/8/2019,990.54,,,
9/9/2019,1064.45,,,
9/10/2019,1062.52,,,
9/11/2019,1076.93,,,
9/12/2019,1127.43,,,
9/13/2019,991.09,,,
9/14/2019,944.92,,,
9/15/2019,976.90,,,
9/16/2019,980.64,,,
9/17/2019,1006.80,,,
9/18/2019,837.94,,,
9/19/2019,649.69,,,
9/20/2019,616.56,,,
9/21/2019,769.20,,,
9/22/2019,845.39,,,
9/23/2019,942.27,,,
9/24/2019,931.25,,,
9/25/2019,929.28,,,
9/26/2019,1101.24,,,
9/27/2019,1024.04,,,
9/28/2019,913.63,,,
9/29/2019,1035.69,,,
9/30/2019,1065.62,,,
10/1/2019,1046.97,,,
10/2/2019,1146.10,,,
10/3/2019,1179.24,,,
10/4/2019,1188.69,,,
10/5/2019,764.61,,,
10/6/2019,718.65,,,
10/7/2019,979.49,,,
10/8/2019,826.47,,,
10/9/2019,789.12,,,
10/10/2019,750.09,,,
10/11/2019,734.22,,,
10/12/2019,738.07,,,
10/13/2019,652.03,,,
10/14/2019,794.98,,,
10/15/2019,731.47,,,
10/16/2019,826.42,,,
10/17/2019,728.54,,,
10/18/2019,717.95,,,
10/19/2019,662.14,,,
10/20/2019,694.40,,,
10/21/2019,877.09,,,
10/22/2019,940.44,,,
10/23/2019,744.40,,,
10/24/2019,777.33,,,
10/25/2019,697.40,,,
10/26/2019,657.78,,,
10/27/2019,900.00,,,
10/28/2019,805.12,,,
10/29/2019,928.79,,,
10/30/2019,829.43,,,
10/31/2019,986.57,,,
11/1/2019,757.80,,,
11/2/2019,596.56,,,
11/3/2019,608.67,,,
11/4/2019,663.64,,,
11/5/2019,631.39,,,
11/6/2019,569.44,,,
11/7/2019,563.16,,,
11/8/2019,647.29,,,
11/9/2019,772.99,,,
11/10/2019,606.52,,,
11/11/2019,700.41,,,
11/12/2019,918.04,,,
11/13/2019,1196.08,,,
11/14/2019,1175.29,,,
11/15/2019,1092.81,,,
11/16/2019,1060.75,,,
11/17/2019,963.81,,,
11/18/2019,962.71,,,
11/19/2019,918.12,,,
11/20/2019,843.30,,,
11/21/2019,803.90,,,
11/22/2019,661.90,,,
11/23/2019,708.45,,,
11/24/2019,649.58,,,
11/25/2019,798.73,,,
11/26/2019,776.12,,,
11/27/2019,693.82,,,
11/28/2019,670.98,,,
11/29/2019,655.86,,,
11/30/2019,671.89,,,
12/1/2019,594.17,,,
12/2/2019,821.21,,,
12/3/2019,1010.93,,,
12/4/2019,918.54,,,
12/5/2019,823.05,,,
12/6/2019,812.00,,,
12/7/2019,774.48,,,
12/8/2019,787.00,,,
12/9/2019,743.55,,,
12/10/2019,772.84,,,
12/11/2019,844.52,,,
12/12/2019,1023.30,,,
12/13/2019,1074.68,,,
12/14/2019,697.97,,,
12/15/2019,661.92,,,
12/16/2019,710.19,,,
12/17/2019,704.66,,,
12/18/2019,823.68,,,
12/19/2019,978.37,,,
12/20/2019,929.42,,,
12/21/2019,850.70,,,
12/22/2019,916.17,,,
12/23/2019,860.24,,,
12/24/2019,588.97,,,
12/25/2019,571.17,,,
12/26/2019,624.02,,,
12/27/2019,541.25,,,
12/28/2019,423.59,,,
12/29/2019,352.05,,,
12/30/2019,415.22,,,
12/31/2019,584.16,,,
1/1/2020,718.64,,,
1/2/2020,902.99,,,
1/3/2020,772.03,,,
1/4/2020,702.31,,,
1/5/2020,855.13,,,
1/6/2020,995.86,,,
1/7/2020,1063.73,,,
1/8/2020,1107.32,,,
1/9/2020,1088.35,,,
1/10/2020,846.19,,,
1/11/2020,581.38,,,
1/12/2020,503.55,,,
1/13/2020,690.40,,,
1/14/2020,642.34,,,
1/15/2020,636.91,,,
1/16/2020,679.36,,,
1/17/2020,1107.57,,,
1/18/2020,1137.70,,,
1/19/2020,790.38,,,
1/20/2020,1080.15,,,
1/21/2020,1090.28,,,
1/22/2020,1005.24,,,
1/23/2020,978.71,,,
1/24/2020,961.85,,,
1/25/2020,955.22,,,
1/26/2020,1011.86,,,
1/27/2020,1152.73,,,
1/28/2020,1064.42,,,
1/29/2020,1178.33,,,
1/30/2020,1094.20,,,
1/31/2020,1364.86,,,
2/1/2020,1213.13,,,
2/2/2020,967.32,,,
2/3/2020,843.32,,,
2/4/2020,807.43,,,
2/5/2020,815.93,,,
2/6/2020,834.48,,,
2/7/2020,944.66,,,
2/8/2020,1457.84,,,
2/9/2020,1233.11,,,
2/10/2020,1215.31,,,
2/11/2020,977.62,,,
2/12/2020,928.37,,,
2/13/2020,922.75,,,
2/14/2020,933.95,,,
2/15/2020,1018.08,,,
2/16/2020,928.61,,,
2/17/2020,811.98,,,
2/18/2020,814.86,,,
2/19/2020,899.39,,,
2/20/2020,1255.96,,,
2/21/2020,1179.98,,,
2/22/2020,1200.65,,,
2/23/2020,968.93,,,
2/24/2020,1094.12,,,
2/25/2020,886.26,,,
2/26/2020,857.26,,,
2/27/2020,949.69,,,
2/28/2020,1120.79,,,
2/29/2020,987.23,,,
3/1/2020,996.84,,,
3/2/2020,872.67,,,
3/3/2020,794.79,,,
3/4/2020,794.59,,,
3/5/2020,925.91,,,
3/6/2020,1023.59,,,
3/7/2020,926.36,,,
3/8/2020,886.60,,,
3/9/2020,925.26,,,
3/10/2020,878.09,,,
3/11/2020,819.30,,,
3/12/2020,816.84,,,
3/13/2020,802.39,,,
3/14/2020,704.99,,,
3/15/2020,769.20,,,
3/16/2020,801.35,,,
3/17/2020,766.78,,,
3/18/2020,690.38,,,
3/19/2020,782.41,,,
3/20/2020,953.59,,,
3/21/2020,800.32,,,
3/22/2020,783.23,,,
3/23/2020,994.07,,,
3/24/2020,1126.84,,,
3/25/2020,959.50,,,
3/26/2020,867.64,,,
3/27/2020,863.52,,,
3/28/2020,701.69,,,
3/29/2020,768.51,,,
3/30/2020,625.85,,,
3/31/2020,749.92,,,
4/1/2020,764.33,,,
4/2/2020,724.27,,,
4/3/2020,575.83,,,
4/4/2020,456.80,,,
4/5/2020,437.65,,,
4/6/2020,552.63,,,
4/7/2020,651.31,,,
4/8/2020,849.97,,,
4/9/2020,705.81,,,
4/10/2020,494.31,,,
4/11/2020,555.11,,,
4/12/2020,569.70,,,
4/13/2020,651.05,,,
4/14/2020,558.34,,,
4/15/2020,573.65,,,
4/16/2020,562.86,,,
4/17/2020,473.48,,,
4/18/2020,302.76,,,
4/19/2020,295.52,,,
4/20/2020,371.57,,,
4/21/2020,364.47,,,
4/22/2020,329.11,,,
4/23/2020,383.83,,,
4/24/2020,368.48,,,
4/25/2020,323.19,,,
4/26/2020,307.29,,,
4/27/2020,337.04,,,
4/28/2020,487.88,,,
4/29/2020,598.83,,,
4/30/2020,478.95,,,
5/1/2020,395.97,,,
5/2/2020,407.44,,,
5/3/2020,575.40,,,
5/4/2020,818.58,,,
5/5/2020,778.00,,,
5/6/2020,748.08,,,
5/7/2020,642.94,,,
5/8/2020,705.39,,,
5/9/2020,593.56,,,
5/10/2020,569.40,,,
5/11/2020,604.27,,,
5/12/2020,658.90,,,
5/13/2020,686.38,,,
5/14/2020,685.28,,,
5/15/2020,746.30,,,
5/16/2020,807.41,,,
5/17/2020,677.47,,,
5/18/2020,713.11,,,
5/19/2020,623.82,,,
5/20/2020,623.18,,,
5/21/2020,603.73,,,
5/22/2020,600.50,,,
5/23/2020,710.32,,,
5/24/2020,763.77,,,
5/25/2020,620.07,,,
5/26/2020,713.69,,,
5/27/2020,704.35,,,
5/28/2020,888.01,,,
5/29/2020,1066.11,,,
5/30/2020,1092.53,,,
5/31/2020,715.04,,,
6/1/2020,780.96,,,
6/2/2020,869.65,,,
6/3/2020,1007.80,,,
6/4/2020,991.80,,,
6/5/2020,792.72,,,
6/6/2020,919.94,,,
6/7/2020,900.30,,,
6/8/2020,962.06,,,
6/9/2020,1045.11,,,
6/10/2020,967.88,,,
6/11/2020,872.57,,,
6/12/2020,772.45,,,
6/13/2020,640.92,,,
6/14/2020,616.32,,,
6/15/2020,597.50,,,
6/16/2020,581.75,,,
6/17/2020,630.36,,,
6/18/2020,783.88,,,
6/19/2020,902.73,,,
6/20/2020,893.18,,,
6/21/2020,982.57,,,
6/22/2020,1080.26,,,
6/23/2020,920.51,,,
6/24/2020,802.26,,,
6/25/2020,751.07,,,
6/26/2020,871.31,,,
6/27/2020,801.09,,,
6/28/2020,808.42,,,
6/29/2020,1082.69,,,
6/30/2020,1006.94,,,
