Exchange Date,Close
27-Apr-2020,1.819
24-Apr-2020,1.746
23-Apr-2020,1.815
22-Apr-2020,1.939
21-Apr-2020,1.821
20-Apr-2020,1.924
17-Apr-2020,1.753
16-Apr-2020,1.686
15-Apr-2020,1.598
14-Apr-2020,1.650
13-Apr-2020,1.724
09-Apr-2020,1.733
08-Apr-2020,1.783
07-Apr-2020,1.852
06-Apr-2020,1.731
03-Apr-2020,1.621
02-Apr-2020,1.552
01-Apr-2020,1.587
31-Mar-2020,1.640
30-Mar-2020,1.690
27-Mar-2020,1.634
26-Mar-2020,1.637
25-Mar-2020,1.659
24-Mar-2020,1.653
23-Mar-2020,1.602
20-Mar-2020,1.604
19-Mar-2020,1.654
18-Mar-2020,1.604
17-Mar-2020,1.729
16-Mar-2020,1.815
13-Mar-2020,1.869
12-Mar-2020,1.841
11-Mar-2020,1.878
10-Mar-2020,1.936
09-Mar-2020,1.778
06-Mar-2020,1.708
05-Mar-2020,1.772
04-Mar-2020,1.827
03-Mar-2020,1.800
02-Mar-2020,1.756
28-Feb-2020,1.684
27-Feb-2020,1.752
26-Feb-2020,1.821
25-Feb-2020,1.847
24-Feb-2020,1.827
21-Feb-2020,1.905
20-Feb-2020,1.920
19-Feb-2020,1.955
18-Feb-2020,1.981
14-Feb-2020,1.837
13-Feb-2020,1.826
12-Feb-2020,1.844
11-Feb-2020,1.788
10-Feb-2020,1.766
07-Feb-2020,1.858
06-Feb-2020,1.862
05-Feb-2020,1.861
04-Feb-2020,1.872
03-Feb-2020,1.819
31-Jan-2020,1.841
30-Jan-2020,1.829
29-Jan-2020,1.877
28-Jan-2020,1.934
27-Jan-2020,1.902
24-Jan-2020,1.893
23-Jan-2020,1.926
22-Jan-2020,1.905
21-Jan-2020,1.895
17-Jan-2020,2.003
16-Jan-2020,2.077
15-Jan-2020,2.120
14-Jan-2020,2.187
13-Jan-2020,2.182
10-Jan-2020,2.202
09-Jan-2020,2.166
08-Jan-2020,2.141
07-Jan-2020,2.162
06-Jan-2020,2.135
03-Jan-2020,2.130
02-Jan-2020,2.122
31-Dec-2019,2.189
30-Dec-2019,2.186
27-Dec-2019,2.158
26-Dec-2019,2.294
24-Dec-2019,2.172
23-Dec-2019,2.214
20-Dec-2019,2.328
19-Dec-2019,2.273
18-Dec-2019,2.286
17-Dec-2019,2.319
16-Dec-2019,2.341
13-Dec-2019,2.296
12-Dec-2019,2.328
11-Dec-2019,2.243
10-Dec-2019,2.264
09-Dec-2019,2.232
06-Dec-2019,2.334
05-Dec-2019,2.427
04-Dec-2019,2.399
03-Dec-2019,2.441
02-Dec-2019,2.329
29-Nov-2019,2.281
27-Nov-2019,2.501
26-Nov-2019,2.470
25-Nov-2019,2.531
22-Nov-2019,2.665
21-Nov-2019,2.567
20-Nov-2019,2.559
19-Nov-2019,2.510
18-Nov-2019,2.566
15-Nov-2019,2.688
14-Nov-2019,2.647
13-Nov-2019,2.600
12-Nov-2019,2.621
11-Nov-2019,2.637
08-Nov-2019,2.789
07-Nov-2019,2.772
06-Nov-2019,2.828
05-Nov-2019,2.862
04-Nov-2019,2.821
01-Nov-2019,2.714
31-Oct-2019,2.633
30-Oct-2019,2.691
29-Oct-2019,2.597
28-Oct-2019,2.446
25-Oct-2019,2.300
24-Oct-2019,2.316
23-Oct-2019,2.282
22-Oct-2019,2.272
21-Oct-2019,2.238
18-Oct-2019,2.320
17-Oct-2019,2.318
16-Oct-2019,2.303
15-Oct-2019,2.339
14-Oct-2019,2.280
11-Oct-2019,2.214
10-Oct-2019,2.218
09-Oct-2019,2.234
08-Oct-2019,2.288
07-Oct-2019,2.303
04-Oct-2019,2.352
03-Oct-2019,2.329
02-Oct-2019,2.247
01-Oct-2019,2.283
30-Sep-2019,2.330
27-Sep-2019,2.404
26-Sep-2019,2.428
25-Sep-2019,2.502
24-Sep-2019,2.503
23-Sep-2019,2.527
20-Sep-2019,2.534
19-Sep-2019,2.538
18-Sep-2019,2.637
17-Sep-2019,2.668
16-Sep-2019,2.681
13-Sep-2019,2.614
12-Sep-2019,2.574
11-Sep-2019,2.552
10-Sep-2019,2.580
09-Sep-2019,2.585
06-Sep-2019,2.496
05-Sep-2019,2.435
04-Sep-2019,2.445
03-Sep-2019,2.358
30-Aug-2019,2.285
29-Aug-2019,2.296
28-Aug-2019,2.251
27-Aug-2019,2.202
26-Aug-2019,2.230
23-Aug-2019,2.152
22-Aug-2019,2.159
21-Aug-2019,2.170
20-Aug-2019,2.218
19-Aug-2019,2.210
16-Aug-2019,2.200
15-Aug-2019,2.232
14-Aug-2019,2.143
13-Aug-2019,2.147
12-Aug-2019,2.105
09-Aug-2019,2.119
08-Aug-2019,2.128
07-Aug-2019,2.083
06-Aug-2019,2.111
05-Aug-2019,2.070
02-Aug-2019,2.121
01-Aug-2019,2.202
31-Jul-2019,2.233
30-Jul-2019,2.137
29-Jul-2019,2.141
26-Jul-2019,2.169
25-Jul-2019,2.244
24-Jul-2019,2.220
23-Jul-2019,2.300
22-Jul-2019,2.312
19-Jul-2019,2.251
18-Jul-2019,2.287
17-Jul-2019,2.304
16-Jul-2019,2.306
15-Jul-2019,2.408
12-Jul-2019,2.453
11-Jul-2019,2.416
10-Jul-2019,2.444
09-Jul-2019,2.425
08-Jul-2019,2.403
05-Jul-2019,2.418
03-Jul-2019,2.290
02-Jul-2019,2.240
01-Jul-2019,2.267
28-Jun-2019,2.308
27-Jun-2019,2.324
26-Jun-2019,2.291
25-Jun-2019,2.308
24-Jun-2019,2.303
21-Jun-2019,2.186
20-Jun-2019,2.185
19-Jun-2019,2.276
18-Jun-2019,2.328
17-Jun-2019,2.386
14-Jun-2019,2.387
13-Jun-2019,2.325
12-Jun-2019,2.386
11-Jun-2019,2.399
10-Jun-2019,2.357
07-Jun-2019,2.337
06-Jun-2019,2.324
05-Jun-2019,2.378
04-Jun-2019,2.416
03-Jun-2019,2.403
31-May-2019,2.454
30-May-2019,2.547
29-May-2019,2.633
28-May-2019,2.582
24-May-2019,2.598
23-May-2019,2.578
22-May-2019,2.543
21-May-2019,2.613
20-May-2019,2.673
17-May-2019,2.631
16-May-2019,2.639
15-May-2019,2.601
14-May-2019,2.659
13-May-2019,2.621
10-May-2019,2.619
09-May-2019,2.595
08-May-2019,2.610
07-May-2019,2.537
06-May-2019,2.524
03-May-2019,2.567
02-May-2019,2.589
01-May-2019,2.620
30-Apr-2019,2.575
29-Apr-2019,2.593
26-Apr-2019,2.566
25-Apr-2019,2.514
24-Apr-2019,2.462
23-Apr-2019,2.455
22-Apr-2019,2.524
18-Apr-2019,2.490
17-Apr-2019,2.517
16-Apr-2019,2.572
15-Apr-2019,2.590
12-Apr-2019,2.660
11-Apr-2019,2.664
10-Apr-2019,2.700
09-Apr-2019,2.699
08-Apr-2019,2.708
05-Apr-2019,2.664
04-Apr-2019,2.643
03-Apr-2019,2.677
02-Apr-2019,2.684
01-Apr-2019,2.708
29-Mar-2019,2.662
28-Mar-2019,2.712
27-Mar-2019,2.713
26-Mar-2019,2.740
25-Mar-2019,2.755
22-Mar-2019,2.753
21-Mar-2019,2.821
20-Mar-2019,2.820
19-Mar-2019,2.874
18-Mar-2019,2.850
15-Mar-2019,2.795
14-Mar-2019,2.855
13-Mar-2019,2.820
12-Mar-2019,2.784
11-Mar-2019,2.772
08-Mar-2019,2.865
07-Mar-2019,2.866
06-Mar-2019,2.841
05-Mar-2019,2.884
04-Mar-2019,2.857
01-Mar-2019,2.859
28-Feb-2019,2.812
27-Feb-2019,2.799
26-Feb-2019,2.855
25-Feb-2019,2.836
22-Feb-2019,2.717
21-Feb-2019,2.697
20-Feb-2019,2.636
19-Feb-2019,2.662
15-Feb-2019,2.625
14-Feb-2019,2.573
13-Feb-2019,2.575
